minute_idx,BTC,DOGE,ETH,SOL,XRP
42,1381408.1589274073,27288.622279537034,1209693.9717281482,600820.0642824074,288112.7678962963
43,1793607.0142879817,20608.220348715593,1839704.2017426605,579208.3630743119,250929.9102174312
44,1593035.230671,10031.023893,1501303.9783113636,465562.84450727276,79611.90199545454
45,1388845.8910537614,15971.025587614678,1850870.9218133944,411287.4723669725,100214.56828807341
46,926402.9830812844,26964.760586055047,1097044.1500262385,566919.6037458716,254696.50016788993
47,876521.3630159091,13998.752706181818,1188905.9514046365,826774.5037563635,196925.8343518182
48,1946913.521442883,18243.43116954955,2176929.903778018,466292.185136036,53975.16825495496
49,2141759.0511901835,71272.37534633027,1261022.5383766056,412490.66847798164,126200.22902293579
50,2192911.576922385,24406.57761522936,1914728.4252131192,361374.1520348624,66561.83209541284
51,1251780.6490799082,14327.406890642204,1216447.5047123854,453831.64066330274,78868.90793577982
52,1139423.839291,22628.943671818182,1229515.4203834545,436251.7090372728,109769.64618181819
53,1592160.2390917274,19242.48915681818,1582152.715376909,360399.71887798165,95027.83408348623
54,2076424.5610512728,21572.03343290909,1260883.564505,398683.98069999996,124568.04966306305
55,1960230.9903089907,14825.837794770643,1490935.9936385322,722903.2306110092,125940.39856972477
56,2565247.4259254127,13212.604343302753,1307464.9501043118,484542.32311926613,193604.90785229357
57,2589279.2539252727,19794.376828727276,1030527.9837182726,227725.17449181818,123051.61952
58,1239028.2983052728,15727.271141545454,1403063.8302812728,321755.7528881818,79257.85543454545
59,1142086.9418267272,22791.61580781818,837173.8316182727,467532.01371636364,97353.65751818182
60,1762753.2660823853,29980.168836972476,1658101.3010868807,587201.0052963302,96341.4825733945
61,1602455.0081147272,22348.521141636364,1866419.1226201819,424758.2397381818,81189.04611363636
62,1371323.9614189998,13048.40949890909,1871450.6358324543,513346.31538,99432.35376272726
63,1258347.5839373874,28343.702945495494,1553255.7291204506,473637.7542369369,76373.18610630631
64,1245060.7099251351,30250.386654864866,1092204.5788483783,382841.25850630633,102978.51611351351
65,2117561.4521773392,109627.66855825688,1066264.622614679,550369.8625266055,103924.49832293577
66,2481414.873381835,19885.745261926604,1115745.4009399083,657970.8401064221,101779.61364311927
67,1980574.0100526605,18271.26907798165,1464344.8792911926,660124.4043348625,180167.69481926606
68,1980391.8328421817,28826.83459054545,1820725.8851436363,404150.24750909087,95109.81658181819
69,1624140.440372844,22094.84242825688,954308.1514230275,555422.9550100918,93577.7563798165
70,2151344.7115688184,22090.985889363637,1324712.7418760909,396334.8458372727,96075.38324363636
71,2003698.1063363962,17589.04066162162,1158345.5282536037,406682.8475837838,115978.39592792792
72,2361920.247198091,20759.523478272728,1357350.8362096364,505710.90259363636,119446.29602636363
73,1954476.0833616361,27937.547333454542,1139414.1117786362,388021.68187454547,73021.56349
74,1573332.5125488073,15513.13967853211,1422012.3837873393,303048.0708110092,113805.92299266055
75,1929431.5824069725,21248.993491009172,2363036.093598716,575421.9788504586,174033.57593669725
76,1786353.5334753704,22761.206549074075,1330228.1143319444,466005.47821111116,97219.71284259259
77,2146253.3276383635,22891.899459727272,1518714.6511062728,363989.8952672727,91689.02945545454
78,1096164.2070445456,20790.04003909091,1697702.7392812725,461110.1250863636,75191.52208181818
79,2076587.0902914547,20762.391906181816,1337963.448787,409955.73314818187,82691.57361181818
80,1798880.7448559634,47681.68350486238,1186937.699344587,392940.8665550458,73899.28273761467
81,2138260.729617248,22051.63325559633,1264696.667568532,536134.0078899083,139770.3183321101
82,1196556.6563652295,14672.40422908257,1503578.9581000002,633463.3467027523,106340.42261284404
83,1175818.0796731776,18400.454695607477,1196264.989543458,468632.8763906542,93847.17306728971
84,1955058.9873577273,21767.291369545455,1442990.051933091,478550.8038272728,110638.39329272727
85,1977614.673056091,18300.294360727272,1289014.8383267273,499488.3663227273,111250.96757454546
86,1841740.7495225,11969.91427425926,922192.4507192592,527340.7620074074,122367.17049074073
