minute_idx,BTC,DOGE,ETH,SOL,XRP,all_assets_med
0,0.10453456591598599,0.5447518121380245,0.28057673389700377,0.45745723863609333,0.37221269785290617,0.37221269785290617
1,0.0829661515430118,0.4906937597433626,0.25623248427556256,0.47337060221231986,0.3926721061758353,0.3926721061758353
2,0.08293506219526159,0.42764544077148514,0.23507544963924376,0.4936348461955893,0.41831391247642175,0.41831391247642175
3,0.08216774414445373,0.4201641612084181,0.2329106599731045,0.4518393740359503,0.36605231712773073,0.36605231712773073
4,0.09413535601538126,0.6389502995168727,0.2349555108781358,0.5053608634520783,0.37552849244603964,0.37552849244603964
5,0.0896962302922293,0.5988756817584836,0.23502647242077487,0.4560739544957986,0.40801284355664996,0.40801284355664996
6,0.08447446107078742,0.48972886325721315,0.23304836242290913,0.46027693740074777,0.42758046648418185,0.42758046648418185
7,0.10842626156082118,0.5885989059675559,0.2581317252950115,0.48887394398705,0.41771229257015186,0.41771229257015186
8,0.08224683275370993,0.4962600342975468,0.2413885400105557,0.480026576993316,0.3980196043547432,0.3980196043547432
9,0.0844424926461683,0.6319935078994746,0.24338756912122578,0.479925074360286,0.40467267843386395,0.40467267843386395
10,0.09048390392257359,0.563956024180748,0.2539685379367479,0.45521869156148703,0.40171009008368047,0.40171009008368047
11,0.09202238973326501,0.4832039331148932,0.24781632731696412,0.4720842667899583,0.3755912940671967,0.3755912940671967
12,0.08531970473818193,0.5752737317615947,0.2290103216634307,0.4516760477105781,0.36605815741723113,0.36605815741723113
13,0.09121342920843982,0.500812193927891,0.23525115265346844,0.4554973359112455,0.3657255526624341,0.3657255526624341
14,0.08374586539112543,0.45375941426064187,0.2437084565714965,0.46386120112841256,0.3821317436421511,0.3821317436421511
15,0.09502481790468814,0.4679638859561985,0.2708345789003283,0.4635883926865535,0.38194349437027625,0.38194349437027625
16,0.09132512084496354,0.6357372464158639,0.23306953492443697,0.46377196142383437,0.37894991458174077,0.37894991458174077
17,0.08971534019842463,0.4745802890580833,0.24741708109860014,0.4550897618598688,0.3915455652118793,0.3915455652118793
18,0.08949954792652888,0.440300126284069,0.2508621734538606,0.49524530551319945,0.39080697128432323,0.39080697128432323
19,0.08291197499778544,0.444762288820693,0.228503592039217,0.4633410288066065,0.37150621375491116,0.37150621375491116
20,0.08365659628715655,0.4045804625855389,0.236822198192209,0.4719928987089752,0.37840448476184013,0.37840448476184013
21,0.08216893110545972,0.6195518467639984,0.2451505980346005,0.4517696472526275,0.39408314487027185,0.39408314487027185
22,0.08216692413713736,0.5831832841800441,0.23478480212893346,0.4642844813559819,0.37503502529629973,0.37503502529629973
23,0.08594661667175481,0.6070521197630903,0.22864773731828056,0.4729557719369108,0.35577379474364085,0.35577379474364085
24,0.08366882724670426,0.45945301891607704,0.2411229873085197,0.4642585020411219,0.3720398527401145,0.3720398527401145
25,0.08823920535902792,0.4637021612504803,0.2517798710603443,0.46843753967955837,0.3623105522947819,0.3623105522947819
26,0.08729536266976871,0.48692141854627685,0.23244828519932503,0.47557960904016117,0.39069458545063895,0.39069458545063895
27,0.08961981501125933,0.543351006509056,0.2596316749622657,0.45514123831450426,0.36842870907083336,0.36842870907083336
28,0.0941314837566139,0.46985193364738903,0.24280839306637433,0.4673883186422464,0.3553400218411822,0.3553400218411822
29,0.08207701413357862,0.44364669878776636,0.23429401095218005,0.45058164745246115,0.35522005603823664,0.35522005603823664
30,0.09563605986726442,0.5394845891068015,0.2741754792608395,0.48364001836743115,0.3844981293616647,0.3844981293616647
31,0.08209286592471753,0.5661355989050456,0.24056859763006147,0.46318563104418015,0.3680939296164107,0.3680939296164107
32,0.08655189869459608,0.6281195565058972,0.2509477087997026,0.4837629238503447,0.35863557706058463,0.35863557706058463
33,0.09114660147249541,0.5953334567599191,0.2575707022969097,0.4633196646538871,0.3847438692054436,0.3847438692054436
34,0.08211629577251184,0.5257070357331973,0.23245343082574396,0.45924628619684715,0.3619124022048557,0.3619124022048557
35,0.09109664659601524,0.48502797289568356,0.2324952094901535,0.4635073526836798,0.3586870618515312,0.3586870618515312
36,0.08288389923139275,0.5630830430020534,0.2806735796344235,0.49666868818912563,0.3685268813639988,0.3685268813639988
37,0.08289049122367904,0.49701147076933555,0.25766432319581517,0.4842934922960628,0.3652303001857067,0.3652303001857067
38,0.08363781648031876,0.49230215182154347,0.2511214187871024,0.4673202285351091,0.37794598930643103,0.37794598930643103
39,0.0821267390114002,0.5034209198854682,0.23645933648309686,0.450396970784258,0.4104358965900871,0.4104358965900871
40,0.08214168301682198,0.5790541274641812,0.24268681171908824,0.479143473245195,0.36799983220202115,0.36799983220202115
41,0.09344511997966425,0.5476307406091164,0.23027867885751424,0.47120008505114735,0.36173080387294915,0.36173080387294915
42,0.10117355563800617,0.605074882947806,0.27266802811156665,0.49670259583866216,0.361897691510906,0.361897691510906
43,0.08292773648881725,0.5596656946287664,0.2304955645843,0.4596905989805144,0.35562719525320435,0.35562719525320435
44,0.08592325825981668,0.5691379297115874,0.23252440775177063,0.4556246143398637,0.3750895306521637,0.3750895306521637
45,0.08823878862702357,0.4825109967850965,0.2284222945439172,0.47240222537004434,0.36885955929742986,0.36885955929742986
46,0.08374001572087883,0.6305915111804119,0.23273125798496622,0.4519390930378036,0.362529809295343,0.362529809295343
47,0.08747573086341286,0.5412227890919689,0.22859313675325274,0.452192791505589,0.36271040858746034,0.36271040858746034
48,0.10075920922737859,0.49312164280657056,0.24092723053465404,0.47262626236581146,0.3627005216825911,0.3627005216825911
49,0.08298766702008874,0.517424458398466,0.23278206108060093,0.46477709251134025,0.3562400621572524,0.3562400621572524
50,0.08296587379966584,0.5248182548029785,0.23900465739085458,0.4605135120099574,0.37562619851029627,0.37562619851029627
51,0.08520045003068882,0.4724901867109062,0.24101966534755723,0.4562450904565174,0.36221687503446554,0.36221687503446554
52,0.08442212443251314,0.4460935468342957,0.22841575034637313,0.45203349523450354,0.36215391472844205,0.36215391472844205
53,0.09261531538596382,0.47490871532689555,0.23868032974208628,0.4640314381248812,0.3719396943423981,0.3719396943423981
54,0.08660624287985062,0.46721112211351634,0.24269711116970272,0.45563098150433173,0.36200724079577584,0.36200724079577584
55,0.08514840602531089,0.5193473469596583,0.23653634499824044,0.45993542952799427,0.37842013877577657,0.37842013877577657
56,0.08213803341824523,0.43866824537473936,0.2470624967488506,0.4518684669243518,0.37537539981709195,0.37537539981709195
57,0.09185562802900353,0.5153892706718586,0.23241787472489683,0.45205727655617745,0.3656878812974833,0.3656878812974833
58,0.08215595755745973,0.452928646893035,0.242770785821262,0.4971305285053333,0.3559907465373487,0.3559907465373487
59,0.082156669333534,0.4161181070685254,0.22819531578171348,0.4642408372237741,0.3945705737494565,0.3945705737494565
60,0.08366338342321822,0.7107205915033141,0.2596780574333998,0.4809336182902373,0.4176698124924635,0.4176698124924635
61,0.08661140563456131,0.546609017303682,0.24057758819142788,0.47993514478905835,0.39426014142031074,0.39426014142031074
62,0.0851017419224342,0.6995483174791518,0.24045160199715196,0.4961439117221072,0.38777848679462645,0.38777848679462645
63,0.09393315425873981,0.5014708029260294,0.2463031118904002,0.4833980428168214,0.3842549419526688,0.3842549419526688
64,0.09836728790053516,0.5045554277176514,0.2462512437469891,0.478874995664116,0.3873792287409931,0.3873792287409931
65,0.08584107696036274,0.5723462219762638,0.24868015708720093,0.47100993016266035,0.3845096236920406,0.3845096236920406
66,0.08208599385904844,0.5209622542645882,0.2319550114993421,0.4506308291524088,0.397553085736106,0.397553085736106
67,0.09417251751173028,0.5437092140393397,0.23001583387123894,0.4718358613225755,0.39139004113077225,0.39139004113077225
68,0.10006230081019414,0.5423612464960414,0.23623865742947503,0.45118100186247195,0.3619910197954641,0.3619910197954641
69,0.08291648199207625,0.45561245585222065,0.23217459487613934,0.46795721949290103,0.37191555456857567,0.37191555456857567
70,0.08511988689511267,0.4984351435514624,0.2465795625698506,0.471589508355962,0.3619269125110121,0.3619269125110121
71,0.08287259045476607,0.450629350741041,0.25053341150388214,0.4671096978308442,0.38743259186590845,0.38743259186590845
72,0.08287599537295023,0.42552448151019256,0.24240198872947286,0.4668329150698809,0.36172761424601313,0.36172761424601313
73,0.08585732084396026,0.4256818044337192,0.2300125658136539,0.45853185973580196,0.3585265543473381,0.3585265543473381
74,0.0821118908530249,0.4038757769201295,0.24667434132614086,0.4626198750917496,0.3618207687403669,0.3618207687403669
75,0.11303453217556637,0.4446363494829546,0.24467570398520797,0.4629992209506348,0.3979177920353638,0.3979177920353638
76,0.09049872904158282,0.47090217566629583,0.23424675329633046,0.4797546582857142,0.3620382298314643,0.3620382298314643
77,0.08435903095878797,0.46606073852122004,0.26313989751748845,0.46291049279670576,0.36514297736782503,0.36514297736782503
78,0.0828888805575942,0.48451454408184547,0.22794875809466003,0.45475463679025013,0.3684381968609705,0.3684381968609705
79,0.08365479271969542,0.4262465175558183,0.25483305351351226,0.4671006801153597,0.35870774294421315,0.35870774294421315
80,0.08892148479789713,0.4885689601310619,0.23606875496775961,0.47120380742779233,0.37480845750708824,0.37480845750708824
81,0.08819805203647371,0.5033220138089575,0.25077109716051554,0.4630856451773909,0.3684122633286012,0.3684122633286012
82,0.0821824367914333,0.4995749928117065,0.23200204674341207,0.5126353482585146,0.36515451029469154,0.36515451029469154
83,0.08219625671589764,0.5618643861517502,0.22785866116577372,0.4551097611761344,0.3787513530022088,0.3787513530022088
84,0.08743336231370986,0.47722109964109755,0.23612204067135084,0.475436263076649,0.37806193218654605,0.37806193218654605
85,0.08962919677961505,0.5243032619275223,0.24213744563218126,0.46692844573606757,0.37792588207848143,0.37792588207848143
86,0.08670994734022758,0.5638559693966517,0.2508258920010854,0.4798846216255369,0.36192759101520633,0.36192759101520633
87,0.08216495487102116,0.4855152229949288,0.24233742087634996,0.4591918020161737,0.36520607483912454,0.36520607483912454
88,0.1021149961333833,0.48008505738653307,0.244005311573089,0.47496803255881404,0.3935770991614034,0.3935770991614034
89,0.08361286853817905,0.5387293071823085,0.2379066405065119,0.49126275165697947,0.39039980608470026,0.39039980608470026
90,0.08210981011264173,0.5458376652326782,0.25448600776067914,0.4501610414583801,0.35487568827763777,0.35487568827763777
91,0.08210918491393909,0.5572857033257579,0.23602453847576738,0.4585300668961517,0.3743583403311955,0.3743583403311955
